,Date,Station,Pressure,Height,Temp,DewPoint,Relative_Humidity,Mean_Mixed_Layer,Wind_Direction,Wind_Speed,Potential_Temp,Equivalent_Potential_Temp,Virtual_Potential_Temp
0,2022-09-01,Quillayute,700,11.2,-9.8,22.0,2.47,231.0,20.0,573.9348,318.0,310.4,738.0
1,2022-09-01,Quillayute,850,1528.0,17.8,8.8,56.0,8.43,205.0,20.372,304.8,330.4,306.3
2,2022-09-01,Vernon,700,3187.0,10.8,-2.2,40.0,4.67,220.0,35.188,314.4,329.5,315.3
3,2022-09-01,Vernon,850,1518.0,25.4,4.4,26.0,6.2,130.0,14.816,312.7,332.5,313.9
4,2022-09-01,Port Hardy,700,3191.0,6.6,-2.4,53.0,4.6,245.0,29.632,309.8,324.4,310.6
5,2022-09-01,Port Hardy,850,1545.0,16.8,4.8,45.0,6.38,245.0,18.52,303.7,323.2,304.9
6,2022-09-02,Quillayute,700,3164.0,9.4,-15.6,15.0,1.63,205.0,38.892,312.9,318.4,313.2
7,2022-09-02,Quillayute,850,1526.0,18.0,1.0,32.0,4.86,180.0,14.816,305.0,320.1,305.9
8,2022-09-02,Vernon,700,3154.0,6.6,1.6,70.0,6.18,290.0,22.224,309.8,329.1,310.9
9,2022-09-02,Vernon,850,1519.0,21.8,5.8,35.0,6.85,40.0,3.704,309.0,330.3,310.2
10,2022-09-02,Port Hardy,700,3137.0,6.6,-14.4,21.0,1.8,190.0,44.448,309.8,315.8,310.1
11,2022-09-02,Port Hardy,850,1501.0,16.0,3.0,42.0,5.62,160.0,31.484,302.9,320.1,303.9
12,2022-09-03,Quillayute,700,3134.0,10.6,-23.4,7.0,0.83,180.0,59.264,314.2,317.2,314.4
13,2022-09-03,Quillayute,850,1493.0,19.0,-12.0,11.0,1.8,160.0,25.928,306.0,312.0,306.4
14,2022-09-03,Vernon,700,3158.0,11.0,-7.0,28.0,3.25,190.0,37.04,314.6,325.4,315.2
15,2022-09-03,Vernon,850,1507.0,25.2,5.2,28.0,6.56,205.0,22.224,312.5,333.3,313.8
16,2022-09-03,Port Hardy,700,3070.0,6.8,-8.2,33.0,2.96,185.0,75.932,310.0,319.6,310.5
17,2022-09-03,Port Hardy,850,1470.0,12.8,8.1,73.0,8.03,165.0,38.892,299.5,323.4,301.0
18,2022-09-04,Quillayute,700,3130.0,5.4,-9.6,33.0,2.65,210.0,42.596000000000004,308.4,317.1,308.9
19,2022-09-04,Quillayute,850,1529.0,8.6,8.6,100.0,8.31,210.0,27.78,295.1,319.4,296.6
20,2022-09-04,Vernon,700,3201.0,9.0,-5.0,37.0,3.78,195.0,31.484,312.4,324.7,313.1
21,2022-09-04,Vernon,850,1519.0,23.8,0.8,22.0,4.79,200.0,44.448,311.1,326.4,312.0
22,2022-09-04,Port Hardy,700,3060.0,3.4,1.9,90.0,6.31,195.0,77.784,306.2,325.7,307.4
23,2022-09-04,Port Hardy,850,1473.0,9.0,6.6,85.0,7.24,170.0,62.968,295.6,316.8,296.9
24,2022-09-05,Quillayute,700,3105.0,1.4,-25.6,11.0,0.68,225.0,50.004000000000005,304.0,306.4,304.1
25,2022-09-05,Quillayute,850,1518.0,8.4,1.4,61.0,5.01,280.0,24.076,294.9,309.8,295.8
26,2022-09-05,Vernon,700,3107.0,4.2,1.2,81.0,6.0,215.0,66.672,307.1,325.7,308.2
27,2022-09-05,Vernon,850,1500.0,17.6,4.6,42.0,6.29,225.0,27.78,304.6,323.9,305.7
28,2022-09-05,Port Hardy,700,3035.0,-3.7,-3.8,99.0,4.14,205.0,50.004000000000005,298.4,311.0,299.1
29,2022-09-05,Port Hardy,850,1484.0,5.8,3.3,84.0,5.74,215.0,33.336,292.2,309.0,293.2
30,2022-09-06,Quillayute,700,3138.0,3.6,-6.4,48.0,3.4,270.0,40.744,306.4,317.3,307.1
31,2022-09-06,Quillayute,850,1551.0,8.4,-6.6,34.0,2.76,55.0,3.704,294.9,303.4,295.4
32,2022-09-06,Vernon,700,3121.0,-1.5,-8.5,59.0,2.89,260.0,22.224,300.8,309.9,301.3
