,Date,Station,Pressure,Height,Temp,DewPoint,Relative_Humidity,Mean_Mixed_Layer,Wind_Direction,Wind_Speed,Potential_Temp,Equivalent_Potential_Temp,Virtual_Potential_Temp
0,2022-04-01,Quillayute,700,2809.0,-10.1,-11.2,92.0,2.33,230.0,74.08,291.3,298.4,291.7
1,2022-04-01,Quillayute,850,1284.0,-2.3,-2.3,100.0,3.82,260.0,64.82000000000001,283.7,294.7,284.4
2,2022-04-01,Vernon,700,2815.0,-8.1,-10.9,80.0,2.39,205.0,77.784,293.5,300.8,293.9
3,2022-04-01,Vernon,850,1256.0,2.4,-2.6,70.0,3.73,190.0,25.928,288.6,299.6,289.3
4,2022-04-01,Port Hardy,700,2685.0,-12.3,-16.6,70.0,1.5,200.0,59.264,288.8,293.5,289.1
5,2022-04-01,Port Hardy,850,1185.0,-3.3,-6.9,76.0,2.69,235.0,79.63600000000001,282.7,290.5,283.1
6,2022-04-02,Quillayute,700,2809.0,-10.1,-11.2,92.0,2.33,230.0,74.08,291.3,298.4,291.7
7,2022-04-02,Quillayute,850,1284.0,-2.3,-2.3,100.0,3.82,260.0,64.82000000000001,283.7,294.7,284.4
8,2022-04-02,Vernon,700,2815.0,-8.1,-10.9,80.0,2.39,205.0,77.784,293.5,300.8,293.9
9,2022-04-02,Vernon,850,1256.0,2.4,-2.6,70.0,3.73,190.0,25.928,288.6,299.6,289.3
10,2022-04-02,Port Hardy,700,2685.0,-12.3,-16.6,70.0,1.5,200.0,59.264,288.8,293.5,289.1
11,2022-04-02,Port Hardy,850,1185.0,-3.3,-6.9,76.0,2.69,235.0,79.63600000000001,282.7,290.5,283.1
12,2022-04-03,Quillayute,700,2809.0,-10.1,-11.2,92.0,2.33,230.0,74.08,291.3,298.4,291.7
13,2022-04-03,Quillayute,850,1284.0,-2.3,-2.3,100.0,3.82,260.0,64.82000000000001,283.7,294.7,284.4
14,2022-04-03,Vernon,700,2815.0,-8.1,-10.9,80.0,2.39,205.0,77.784,293.5,300.8,293.9
15,2022-04-03,Vernon,850,1256.0,2.4,-2.6,70.0,3.73,190.0,25.928,288.6,299.6,289.3
16,2022-04-03,Port Hardy,700,2685.0,-12.3,-16.6,70.0,1.5,200.0,59.264,288.8,293.5,289.1
17,2022-04-03,Port Hardy,850,1185.0,-3.3,-6.9,76.0,2.69,235.0,79.63600000000001,282.7,290.5,283.1
18,2022-04-04,Quillayute,700,2809.0,-10.1,-11.2,92.0,2.33,230.0,74.08,291.3,298.4,291.7
19,2022-04-04,Quillayute,850,1284.0,-2.3,-2.3,100.0,3.82,260.0,64.82000000000001,283.7,294.7,284.4
20,2022-04-04,Vernon,700,2815.0,-8.1,-10.9,80.0,2.39,205.0,77.784,293.5,300.8,293.9
