ID,Date,Station,Pressure,Height,Temp,DewPoint,Relative_Humidity,Mean_Mixed_Layer,Wind_Direction,Wind_Speed,Potential_Temp,Equivalent_Potential_Temp,Virtual_Potential_Temp
0,2020-01-01,Quillayute,700,2969.0,-0.9,-0.9,100.0,5.14,255.0,100.00800000000001,301.5,317.2,302.4
1,2020-01-01,Quillayute,850,1393.0,6.2,6.2,100.0,7.04,260.0,81.488,292.6,313.1,293.9
2,2020-01-01,Vernon,700,2880.0,-5.5,-7.0,89.0,3.25,260.0,94.452,296.4,306.3,296.9
3,2020-01-01,Vernon,850,1357.0,-3.9,-5.8,87.0,2.93,170.0,18.52,282.1,290.5,282.6
4,2020-01-01,Port Hardy,700,2856.0,-4.3,-5.8,89.0,3.56,250.0,87.04400000000001,297.7,308.6,298.3
5,2020-01-01,Port Hardy,850,1301.0,3.4,1.9,90.0,5.19,250.0,59.264,289.7,304.8,290.6
6,2020-01-02,Quillayute,700,2946.0,-10.7,-23.7,34.0,0.81,260.0,50.004000000000005,290.6,293.2,290.8
7,2020-01-02,Quillayute,850,1426.0,-1.3,-1.6,98.0,4.02,280.0,42.596000000000004,284.8,296.4,285.5
8,2020-01-02,Vernon,700,2882.0,-9.5,-12.3,80.0,2.14,305.0,31.484,291.9,298.5,292.3
9,2020-01-02,Vernon,850,1351.0,2.2,-4.8,60.0,3.16,245.0,33.336,288.4,297.8,289.0
10,2020-01-02,Port Hardy,700,2885.0,-15.3,-16.2,93.0,1.55,270.0,42.596000000000004,285.5,290.2,285.8
11,2020-01-02,Port Hardy,850,1405.0,-5.7,-5.8,99.0,2.93,285.0,57.412000000000006,280.2,288.6,280.7
12,2020-01-03,Quillayute,700,2974.0,-2.3,-2.7,97.0,4.5,270.0,90.748,299.9,313.6,300.7
13,2020-01-03,Quillayute,850,1423.0,1.8,1.7,99.0,5.12,215.0,79.63600000000001,288.0,302.8,288.9
14,2020-01-03,Vernon,700,,,,,,,,,,
15,2020-01-03,Vernon,850,,,,,,,,,,
16,2020-01-03,Port Hardy,700,2889.0,-2.9,-4.7,87.0,3.87,245.0,92.60000000000001,299.2,311.1,299.9
17,2020-01-03,Port Hardy,850,1344.0,-3.3,-4.8,89.0,3.16,160.0,61.116,282.7,291.8,283.2
18,2020-01-04,Quillayute,700,2942.0,-4.5,-20.5,27.0,1.08,215.0,112.97200000000001,297.5,301.0,297.7
19,2020-01-04,Quillayute,850,1387.0,5.2,5.1,99.0,6.52,210.0,105.56400000000001,291.6,310.5,292.7
20,2020-01-04,Vernon,700,2937.0,-5.7,-10.7,68.0,2.43,235.0,87.04400000000001,296.1,303.7,296.6
21,2020-01-04,Vernon,850,1411.0,0.6,-2.7,79.0,3.7,140.0,9.26,286.8,297.6,287.4
22,2020-01-04,Port Hardy,700,2791.0,-5.3,-6.9,89.0,3.27,200.0,124.084,296.6,306.6,297.2
23,2020-01-04,Port Hardy,850,1244.0,2.4,0.3,86.0,4.62,195.0,88.896,288.6,302.1,289.4
24,2020-01-05,Quillayute,700,3015.0,-14.1,-16.3,83.0,1.54,240.0,75.932,286.8,291.6,287.1
25,2020-01-05,Quillayute,850,1513.0,-4.3,-5.1,94.0,3.09,215.0,46.300000000000004,281.6,290.5,282.2
26,2020-01-05,Vernon,700,2974.0,-15.1,-24.1,46.0,0.78,285.0,68.524,285.7,288.2,285.9
27,2020-01-05,Vernon,850,1477.0,-3.1,-12.1,50.0,1.79,220.0,24.076,282.9,288.2,283.2
28,2020-01-05,Port Hardy,700,2941.0,-15.1,-23.1,50.0,0.86,245.0,64.82000000000001,285.7,288.4,285.9
29,2020-01-05,Port Hardy,850,1449.0,-5.3,-7.4,85.0,2.59,220.0,44.448,280.6,288.1,281.0
30,2020-01-06,Quillayute,700,3011.0,-15.1,-24.1,46.0,0.78,275.0,74.08,285.7,288.2,285.9
31,2020-01-06,Quillayute,850,1514.0,-5.1,-9.5,71.0,2.2,265.0,44.448,280.8,287.2,281.2
32,2020-01-06,Vernon,700,2927.0,-12.7,-14.7,85.0,1.76,225.0,81.488,288.4,293.8,288.7
33,2020-01-06,Vernon,850,1432.0,-3.1,-7.1,74.0,2.65,190.0,24.076,282.9,290.6,283.3
34,2020-01-06,Port Hardy,700,2920.0,-18.1,-20.5,81.0,1.08,280.0,53.708000000000006,282.4,285.7,282.6
35,2020-01-06,Port Hardy,850,1457.0,-5.9,-10.9,68.0,1.97,280.0,44.448,279.9,285.7,280.3
36,2020-01-07,Quillayute,700,3035.0,-5.3,-5.5,98.0,3.64,265.0,64.82000000000001,296.6,307.7,297.2
37,2020-01-07,Quillayute,850,1486.0,3.0,2.9,99.0,5.58,260.0,51.856,289.3,305.4,290.2
38,2020-01-07,Vernon,700,2951.0,-9.9,-11.8,86.0,2.22,280.0,46.300000000000004,291.5,298.3,291.9
39,2020-01-07,Vernon,850,1440.0,-5.7,-7.9,84.0,2.49,205.0,24.076,280.2,287.4,280.6
40,2020-01-07,Port Hardy,700,2958.0,-8.1,-13.0,68.0,2.02,265.0,64.82000000000001,293.5,299.8,293.8
41,2020-01-07,Port Hardy,850,1432.0,-0.9,-3.3,84.0,3.54,255.0,14.816,285.2,295.5,285.8
42,2020-01-08,Quillayute,700,2894.0,-7.9,-8.4,96.0,2.91,210.0,57.412000000000006,293.7,302.6,294.2
43,2020-01-08,Quillayute,850,1359.0,0.6,0.6,100.0,4.72,215.0,44.448,286.8,300.4,287.6
44,2020-01-08,Vernon,700,2888.0,-8.3,-10.1,87.0,2.55,235.0,88.896,293.3,301.1,293.7
45,2020-01-08,Vernon,850,1358.0,-0.9,-2.0,92.0,3.9,185.0,16.668,285.2,296.5,285.9
46,2020-01-08,Port Hardy,700,2833.0,-9.9,-12.1,84.0,2.17,285.0,44.448,291.5,298.1,291.9
47,2020-01-08,Port Hardy,850,1319.0,-4.1,-6.0,87.0,2.89,305.0,51.856,281.8,290.2,282.3
48,2020-01-09,Quillayute,700,2892.0,-15.5,-17.5,85.0,1.39,335.0,44.448,285.3,289.6,285.5
49,2020-01-09,Quillayute,850,1399.0,-6.3,-6.7,97.0,2.74,305.0,27.78,279.5,287.4,280.0
50,2020-01-09,Vernon,700,2840.0,-17.3,-24.3,54.0,0.77,310.0,57.412000000000006,283.3,285.7,283.4
51,2020-01-09,Vernon,850,1368.0,-7.1,-15.1,53.0,1.4,325.0,14.816,278.7,282.9,278.9
52,2020-01-09,Port Hardy,700,2878.0,-15.5,-17.9,82.0,1.34,295.0,33.336,285.3,289.4,285.5
53,2020-01-09,Port Hardy,850,1378.0,-5.5,-7.1,88.0,2.65,245.0,37.04,280.4,288.0,280.8
54,2020-01-10,Quillayute,700,2985.0,-14.9,-23.9,46.0,0.8,310.0,42.596000000000004,286.0,288.5,286.1
55,2020-01-10,Quillayute,850,1489.0,-4.1,-16.1,39.0,1.29,280.0,12.964,281.8,285.8,282.1
56,2020-01-10,Vernon,700,2922.0,-19.3,-22.4,76.0,0.91,305.0,50.004000000000005,281.1,283.9,281.2
57,2020-01-10,Vernon,850,1450.0,-9.1,-16.1,57.0,1.29,315.0,12.964,276.6,280.4,276.8
58,2020-01-10,Port Hardy,700,2941.0,-14.3,-21.3,55.0,1.0,270.0,35.188,286.6,289.8,286.8
59,2020-01-10,Port Hardy,850,1447.0,-6.7,-8.9,84.0,2.31,220.0,38.892,279.1,285.8,279.5
60,2020-01-11,Quillayute,700,2851.0,-10.9,-13.8,79.0,1.89,220.0,68.524,290.4,296.2,290.7
61,2020-01-11,Quillayute,850,1328.0,-0.9,-2.4,90.0,3.79,230.0,55.56,285.2,296.2,285.8
62,2020-01-11,Vernon,700,2836.0,-11.3,-12.7,89.0,2.07,255.0,46.300000000000004,289.9,296.3,290.3
63,2020-01-11,Vernon,850,1341.0,-6.7,-9.2,82.0,2.25,175.0,24.076,279.1,285.6,279.5
64,2020-01-11,Port Hardy,700,2787.0,-10.9,-12.8,86.0,2.05,190.0,44.448,290.4,296.7,290.8
65,2020-01-11,Port Hardy,850,1243.0,-1.5,-3.7,85.0,3.44,155.0,33.336,284.6,294.5,285.1
66,2020-01-12,Quillayute,700,2927.0,-13.7,-16.5,79.0,1.51,300.0,57.412000000000006,287.3,291.9,287.6
67,2020-01-12,Quillayute,850,1429.0,-5.3,-5.6,98.0,2.98,300.0,53.708000000000006,280.6,289.1,281.1
68,2020-01-12,Vernon,700,2841.0,-13.3,-14.6,90.0,1.77,275.0,31.484,287.7,293.1,288.0
69,2020-01-12,Vernon,850,1336.0,-3.1,-5.4,84.0,3.02,210.0,31.484,282.9,291.6,283.4
70,2020-01-12,Port Hardy,700,2870.0,-13.7,-15.9,83.0,1.59,275.0,61.116,287.3,292.2,287.6
71,2020-01-12,Port Hardy,850,1375.0,-5.1,-7.0,87.0,2.67,240.0,31.484,280.8,288.5,281.2
72,2020-01-13,Quillayute,700,2805.0,-14.9,-44.9,6.0,0.1,295.0,50.004000000000005,286.0,286.3,286.0
73,2020-01-13,Quillayute,850,1318.0,-8.1,-9.4,90.0,2.22,295.0,68.524,277.6,284.0,278.0
74,2020-01-13,Vernon,700,2766.0,-14.3,-16.4,84.0,1.52,215.0,25.928,286.6,291.3,286.9
75,2020-01-13,Vernon,850,1273.0,-8.5,-10.3,87.0,2.06,340.0,27.78,277.2,283.2,277.6
76,2020-01-13,Port Hardy,700,2772.0,-16.9,-41.9,9.0,0.14,335.0,59.264,283.7,284.2,283.8
77,2020-01-13,Port Hardy,850,1301.0,-12.7,-14.6,86.0,1.46,340.0,29.632,272.8,277.1,273.1
78,2020-01-14,Quillayute,700,2841.0,-16.1,-30.1,29.0,0.45,280.0,37.04,284.6,286.1,284.7
79,2020-01-14,Quillayute,850,1361.0,-8.7,-9.1,97.0,2.27,260.0,20.372,277.0,283.5,277.4
80,2020-01-14,Vernon,700,2800.0,-23.7,-26.7,76.0,0.62,260.0,50.004000000000005,276.2,278.1,276.3
81,2020-01-14,Vernon,850,1389.0,-25.5,-31.5,57.0,0.33,15.0,11.112,259.4,260.4,259.5
82,2020-01-14,Port Hardy,700,2802.0,-17.9,-35.9,19.0,0.26,295.0,38.892,282.6,283.5,282.7
